Date,Open AAPL,Close AAPL,Volume AAPL,Open MSFT,Close MSFT,Volume MSFT,Open GOOG,Close GOOG,Volume GOOG,Open AMZN,Close AMZN,Volume AMZN,Open NVDA,Close NVDA,Volume NVDA,Open BRKB,Close BRKB,Volume BRKB,Open TSLA,Close TSLA,Volume TSLA,Open META,Close META,Volume META,Open JNJ,Close JNJ,Volume JNJ,Open V,Close V,Volume V,Daily Volume
2022-01-03,177.830002,182.009995,104487900,335.350006,334.75,28865100,142.869995,142.64,21046000,167.550003,170.404495,63520000,277.820007,272.859985,52344000,300.100006,300.790009,3570300,364.856659,359.200012,48992700,228.449997,222.360001,24192300,179.589996,177.229996,11490400,223.91,221.770004,10759500,369268200
2022-01-04,182.630005,179.699997,99310400,334.829987,329.01001,32674300,142.44,139.65,29516000,170.438004,167.522003,70726000,273.75,267.119995,51723500,301.649994,308.529999,6003300,360.383331,361.529999,54263100,224.550003,224.850006,19544800,177.050003,178.190002,6525600,223.08,226.360001,6559600,376846600
2022-01-05,179.610001,174.919998,94537600,325.859985,316.380005,40054300,140.009995,140.70,23480000,166.882996,164.356995,64302000,267.279999,273.600006,39712000,309.869995,309.920013,6888300,363.126678,381.816681,82035900,225.979996,233.889999,28054800,178.190002,176.470001,6860600,225.759995,227.74,8521200,394446700
2022-01-06,172.699997,172,96904000,313.149994,313.880005,39646100,140.82,143.64,19076000,163.4505,163.253998,51958000,272.540009,259.309998,43661500,312.980011,313.220001,5137200,378.766663,363.753326,80075100,234.080002,231.839996,29727200,176.470001,177.610001,7446100,226.830002,226.089996,4658000,378289200
2022-01-07,172.889999,172.169998,86709100,314.149994,314.040009,32720000,143.39,141.06,19256000,163.839005,162.554001,46606000,249.339996,244.070007,70383300,315.559998,319.779999,5618300,357.823334,348.58667,89348400,226.910004,223.300003,28995100,179.389999,182.229996,10330900,222.779999,219.009995,7430000,397397100
2022-01-10,169.080002,172.190002,106765600,309.48999,314.269989,44289500,139.16,137.18,23574000,160.585495,161.485992,87798000,244.410004,242.080002,55799200,321.399994,318.929993,5812300,350.796661,352.420013,79447200,223.929993,222.949997,21037200,181.669998,181.759995,7385200,218.309998,216.14,6995100,438903300
2022-01-11,172.320007,175.080002,76138300,313.380005,314.980011,29386800,136.61,136.46,19448000,161.5,165.362,62806000,239.169998,231.190002,52478100,318.609985,319.799988,4247900,347.736664,341.829987,55013700,222.380005,222.330002,18375700,181.330002,182.119995,7144500,214.809998,216.979996,5438600,330477600
2022-01-12,176.119995,175.529999,74805200,319.670013,318.269989,34372200,136.25,134.01,16434000,166.574997,165.207001,50030000,222.139999,219.169998,57520700,320.619995,320.390015,3580400,326.799988,325.309998,59357100,218.419998,216.460007,20516600,183,179.839996,5932000,215.25,214.75,6942700,329490900
2022-01-13,175.779999,172.190002,84505800,320.470001,304.799988,45366000,132.899994,129.80,24188000,165.250504,161.214005,52188000,225.369995,215.039993,66225800,321,321.26001,4277900,332.546661,328.983337,65976000,220.240005,214.139999,20128800,179.199997,179.899994,5957500,216.5,211.39,7446600,376260400
2022-01-14,171.339996,173.070007,80440800,304.25,310.200012,39846400,132.42,128.37,23004000,160.149994,162.138,45974000,217.279999,222.029999,51694300,318.869995,324.130005,4913700,327.026672,340.790009,55121100,211.820007,214.990005,19231800,179.899994,180.660004,5643100,210.42,213.270004,8052900,333922100
2022-01-18,171.509995,169.800003,90956700,304.070007,302.649994,42333200,128.62,130.29,19542000,159.104996,158.917496,67292000,225.050003,212.580002,56909700,322.220001,320.290009,5764200,333.09668,328.333344,58422300,214.889999,210.179993,18379500,180,179.899994,6188200,214.270004,212.78,8191600,373979400
2022-01-19,170,166.229996,94815000,306.290009,303.329987,45933900,130.64,127.25,23484000,158.761993,156.298996,53242000,212,217.830002,52570100,321.350006,314.75,6086400,329.676666,334.763336,51715200,210,210.770004,16580800,179.729996,177.660004,6318700,211.669998,213.169998,4744400,355490500
2022-01-20,166.979996,164.509995,91420500,309.070007,301.600006,35380700,127.410004,127.96,14918000,156.766006,151.667496,71974000,217.199997,221.979996,51278100,315.579987,311.01001,4402300,335.019989,342.716675,49847700,210.520004,217.309998,20089900,180.720001,183.080002,14380800,213.1,215.699997,5028800,358720800
2022-01-21,164.419998,162.410004,122848900,302.690002,296.029999,57984400,128.07,130.53,22720000,149.949997,142.643005,163972000,225.169998,214.820007,46897400,309.98999,305.220001,6535400,343.333344,325.733337,70711200,213.610001,200.419998,43036500,182.240005,183.889999,8044900,218.660004,217.78,7178300,549929000
2022-01-24,160.020004,161.619995,162294600,292.200012,296.369995,85731500,131.28,128.25,22610000,139,144.544006,155624000,217.089996,201.830002,65620900,299.700012,303.730011,8504200,358.243347,336.26001,105416400,201.600006,188.070007,49954100,183.929993,183.360001,6969200,219.509995,216.449997,8850300,671575200
2022-01-25,158.979996,159.779999,115798400,291.519989,288.48999,72848600,129.350006,124.94,30158000,142.242493,139.985992,90824000,203.029999,195.149994,62471300,301.869995,307.190002,6435400,338.303345,335.016663,69696600,190.369995,184.110001,36426800,182.470001,181.539993,8003600,216.24,208.169998,6201100,498863800
2022-01-26,163.5,159.690002,108275300,307.98999,296.709991,90428900,125,119.61,46410000,144.75,138.872498,95602000,192.020004,199.020004,64156600,310.399994,309.26001,6119400,326.323334,332.67334,68341200,182.729996,186.990005,29281100,182.339996,186.009995,11176500,206.35,209.949997,6839400,526630400
2022-01-27,162.449997,159.220001,121954600,302.660004,299.839996,53481300,119.429497,123.25,34522000,140.800003,139.637497,77516000,197.179993,187.880005,65314300,311.700012,307.670013,5053200,331.809998,292.140015,136133700,186.630005,180.949997,31747400,185.100006,184.679993,10190000,206.979996,201.1,8155300,544067800
2022-01-28,165.710007,170.330002,179935700,300.230011,308.26001,49743700,122.75,119.51,49394000,140.860504,143.977997,74392000,185.979996,184.149994,49946000,307.679993,312.899994,5238200,299.526672,293.83667,76956300,174.429993,174.949997,71062900,184.240005,182.100006,11090100,217.369995,214.110001,15955800,583714700
2022-01-31,170.160004,174.779999,115541600,308.950012,310.980011,46444500,114.373001,115.02,62238000,144.75,149.573502,78308000,189.669998,197.820007,57032700,312,313.019989,5237600,299.993347,292.503326,124948500,202.919998,205.729996,100890600,182.25,183.460007,9403900,220.39,220.660004,10799100,610844500
2022-02-01,174.009995,174.610001,86213900,310.410004,308.76001,40950400,117.114998,119.41,36790000,150,151.193497,59220000,194.020004,185.470001,50043500,312.640015,313.959991,4347200,300.75,290.253326,88133100,204.460007,200.470001,49193400,182.5,180.460007,8463100,218.619995,213.13,7965000,431319600
2022-02-02,174.75,175.839996,84914300,309.630005,313.459991,36636000,117.578003,114.97,33694000,155.050507,150.612503,87330000,185.410004,195.330002,57204900,313.570007,319.600006,4632200,286.92334,300.980011,75781500,201.169998,211.130005,49915300,180.470001,178.639999,7145400,211.770004,211.529999,8803700,446057300
2022-02-03,174.479996,172.899994,89418100,309.48999,301.25,43730000,113.906502,117.16,30280000,141.737503,138.845505,225532000,194,196.020004,47575100,319.329987,315.230011,4151500,301.059998,303.083344,63709500,210.449997,212.029999,41556300,178.800003,178.289993,5898700,213.610001,208.559998,6616900,558468100
2022-02-04,171.679993,172.389999,82465400,300.209991,305.940002,35096500,116.764999,118.13,21216000,155.606506,157.639496,253456000,199.229996,203.339996,64885500,315.869995,314.98999,3654700,301.313324,317.540009,81643800,210.649994,223.410004,41375900,178.149994,180.199997,5923000,209.35,214.520004,7191100,596907900
2022-02-07,172.860001,171.660004,77251200,306.170013,300.950012,28533300,118.003502,122.57,33232000,158.520004,157.935501,102624000,198.669998,188.440002,62633100,314.910004,316.51001,3129100,313.006653,291.093323,92519100,218.740005,208.279999,41129200,179.419998,176.759995,7089200,212.270004,205.24,7749600,455889800
2022-02-08,171.729996,174.830002,74829200,301.25,304.559998,32421200,120.220497,116.75,43090000,156.750504,161.413498,76040000,187.360001,186.75,63329700,318.269989,321.440002,6237800,295.666656,288.549988,72903000,207.339996,203.770004,34747200,175.139999,176.369995,6434000,203.75,202.82,8825300,418857400
2022-02-09,176.050003,176.279999,71285000,309.869995,311.209991,31284700,115.518997,115.66,35310000,162.873505,161.189499,68786000,180.339996,169.5,64445500,323.799988,322.380005,3995900,278.816681,262.369995,90810300,199.839996,196.210007,36303200,175.449997,177.330002,7855200,200.050003,193,10314100,420389900
2022-02-10,174.139999,172.119995,90865900,304.040009,302.380005,45386200,113.303497,113.08,34520000,158.350006,159.003494,68268000,176.889999,175.949997,76147400,320.98999,319.850006,7079700,273.103333,266.679993,84401700,199.509995,197.649994,34452500,178.229996,177.089996,8186700,196.71,193.580002,11016500,460324600
2022-02-11,172.330002,168.639999,98670700,303.190002,295.040009,39175600,116.040497,114.58,31158000,158.134506,153.293503,77100000,173.470001,166.300003,67016700,320.01001,319.140015,7493400,265,244.666672,97224600,196.330002,188.740005,31153400,175.960007,176.130005,6138900,193.49,196.720001,9427300,464558600
2022-02-14,167.369995,168.880005,86185500,293.769989,295,36359500,113.710503,113.96,36502000,151.751007,155.167007,83230000,162.190002,161.75,70872800,319.609985,314.279999,8129100,233.666672,242.666672,140313000,187.059998,191.240005,38262200,176.470001,177.869995,6898600,194.529999,193.970001,9308600,516061300
2022-02-15,170.970001,172.789993,62527400,300.01001,300.470001,27058300,111.938004,113.16,41464000,157.605499,156.510498,56440000,167.880005,177.059998,67043700,316.640015,316.200012,3681400,257.82666,256.529999,92150700,192.580002,198.619995,24549800,178.699997,176.850006,7732200,197,199.229996,6684500,389332000
2022-02-16,171.850006,172.550003,61177400,298.369995,299.5,29982100,114.845497,116.52,29738000,155.790497,158.100494,52704000,175.089996,172.639999,52144600,315,315.649994,3974100,255.720001,241.456665,86098500,197.050003,200.039993,27112600,176.850006,178.080002,5516700,197.32,197.809998,5161300,353609300
2022-02-17,171.029999,168.880005,69589300,296.359985,290.730011,32461600,115.384003,114.79,23282000,158.145996,154.652496,64032000,180.740005,181.770004,58583000,314.980011,313.549988,3632400,249.119995,253.869995,80236200,202.119995,202.619995,24872700,178.720001,178.820007,5751100,202.85,204,7265600,369705900
2022-02-18,169.820007,167.300003,82772700,293.049988,287.929993,34264000,117.227501,116.70,21576000,155.499496,152.601501,63604000,177.050003,169.380005,54516100,313.829987,314.799988,4224500,248.17334,236.603333,87811800,200,192.240005,23960000,178.839996,175.5,8608800,202.82,199.99,8748200,390086100
2022-02-22,164.979996,164.320007,91162800,285,287.720001,41736100,115.237503,112.40,27982000,150.4785,150.197495,66128000,169.369995,171.240005,62131000,313.440002,314.160004,5102000,235.666672,236.473328,90296700,191.199997,191.289993,24446900,174.720001,173.940002,6874500,196.35,197.369995,9012400,424872400
2022-02-23,165.539993,160.070007,90009200,290.179993,280.269989,37811200,111.841003,110.75,29192000,151.650497,144.826996,64244000,173.320007,166.940002,73910500,316.079987,309.98999,5030600,237.996674,221.300003,144973200,194.970001,193.539993,31465600,174.850006,176.979996,7522100,199.669998,199.029999,6966600,491125000
2022-02-24,152.580002,162.740005,141147500,272.51001,294.589996,56989700,112.085503,109.31,37586000,139.837494,151.358002,100786000,162.740005,168.979996,63988900,301.779999,308.279999,8834700,218.339996,224.96666,88903500,195.190002,196.229996,25059200,177.600006,179.440002,7040800,200.88,207.559998,12187400,542523700
2022-02-25,163.839996,164.850006,91974200,295.140015,297.309998,32546700,110.103996,111.67,31558000,150.550003,153.788498,62396000,165.100006,161.539993,58855000,311.160004,319.23999,7484400,217.843338,209.386673,89092500,180.550003,181.279999,50406300,179.25,181.399994,6419800,203.910004,202.63,7458500,438191400
2022-02-28,163.059998,165.119995,95056600,294.309998,298.790009,34627500,106.377502,105.93,60386000,152.425003,153.563004,57684000,160.199997,169.75,78113200,317.350006,321.450012,7981000,207.949997,219.600006,92139300,180.399994,183.830002,28030200,180.529999,179.619995,6558900,200.589996,203.839996,5457200,466033900
2022-03-01,164.699997,163.199997,83474400,296.399994,294.950012,31217800,105.141998,105.84,37900000,152.732498,151.141998,44874000,160.360001,178.509995,99657500,320.26001,316.839996,6441400,220.473328,235.910004,106003200,182.880005,191.630005,23056500,181,179.460007,6897600,205.110001,208.550003,9212300,448734700
